run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	status	notes	data
20260815-174443-chat	b872c60	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	92de8fb3	runbooks/Inferact/Qwen3.8-27B-NVFP4/baseline.sh	402	600	42	10.34	37.49	68.92	116.63	177.34	73.5	measured	suite full-sweep; thermal=72C/38W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260815-174443-chat
20260815-183535-coder	b872c60	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	coder(4096/1024)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	92de8fb3	runbooks/Inferact/Qwen3.8-27B-NVFP4/baseline.sh	402	600	42	12.62	32.21	54.65	82.98	102.02	73.5	measured	suite full-sweep; thermal=75C/39W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260815-183535-coder
20260816-030252-chat	00d627e	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	d9c30b8f	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n2_tuned.sh	478	300	42	17.25	na	na	150.46	na	69.9	measured	exp=20260816-025409 n1; thermal=73C/37W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-030252-chat
20260816-031322-chat	00d627e	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	d9c30b8f	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n2_tuned.sh	478	300	42	16.81	na	na	151.9	na	69.9	measured	exp=20260816-025409 n2; thermal=71C/39W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-031322-chat
20260816-032342-chat	00d627e	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	d9c30b8f	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n2_tuned.sh	478	300	42	16.86	na	na	150.98	na	69.9	measured	exp=20260816-025409 n3; thermal=70C/38W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-032342-chat
20260816-142542-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	2710893d	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n1_tuned.sh	457	300	42	15.55	na	na	151.63	na	69.6	measured	exp=20260816-141746 n1; thermal=75C/38W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-142542-chat
20260816-143609-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	2710893d	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n1_tuned.sh	457	300	42	15.97	na	na	151.5	na	69.6	measured	exp=20260816-141746 n2; thermal=71C/38W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-143609-chat
20260816-144633-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	2710893d	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n1_tuned.sh	457	300	42	15.81	na	na	154.93	na	69.7	measured	exp=20260816-141746 n3; thermal=70C/38W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-144633-chat
20260816-150602-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	dd2f3eef	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n3_tuned.sh	442	300	42	16.13	na	na	167.91	na	69.9	measured	exp=20260816-145754 n1; thermal=74C/41W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-150602-chat
20260816-151632-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	dd2f3eef	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n3_tuned.sh	442	300	42	18.68	na	na	161.55	na	69.9	measured	exp=20260816-145754 n2; thermal=73C/40W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-151632-chat
20260816-152655-chat	1575b65	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	dd2f3eef	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n3_tuned.sh	442	300	42	17.58	na	na	167.66	na	69.9	measured	exp=20260816-145754 n3; thermal=72C/40W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-152655-chat
20260816-165725-chat	134dba5	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	b6fce911	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n4_tuned.sh	467	300	42	18.3	na	na	162.6	na	70.3	measured	exp=20260816-164854 n1; thermal=74C/41W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-165725-chat
20260816-170744-chat	134dba5	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	b6fce911	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n4_tuned.sh	467	300	42	16.5	na	na	158.04	na	70.2	measured	exp=20260816-164854 n2; thermal=72C/40W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-170744-chat
20260816-171807-chat	134dba5	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	b6fce911	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n4_tuned.sh	467	300	42	18.23	na	na	154.88	na	70.3	measured	exp=20260816-164854 n3; thermal=72C/40W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-171807-chat
20260816-173728-chat	134dba5	gb10-1988a9714b4e	Inferact/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	4b843385	runbooks/Inferact/Qwen3.8-27B-NVFP4/20260816_mtp-n5_tuned.sh	437	300	42	15.72	na	na	155.02	na	69.9	measured	exp=20260816-172928 n1; thermal=76C/41W	results/gb10-1988a9714b4e/Inferact/Qwen3.8-27B-NVFP4/data/20260816-173728-chat
