run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	status	notes	data
20260721-164941-chat	2f6abac	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	hang	na	na	na	na	0	discard	cfg=baseline temp=0 N1/3 target-only ctx32768 HARNESS-ERROR guidellm GET /health 404 (ds4 has no /health); not a server crash	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-164941-chat
20260721-164944-chat	2f6abac	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	hang	na	na	na	na	0	discard	cfg=baseline temp=0 N2/3 target-only ctx32768 HARNESS-ERROR guidellm GET /health 404 (ds4 has no /health); not a server crash	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-164944-chat
20260721-164948-chat	2f6abac	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	hang	na	na	na	na	0	discard	cfg=baseline temp=0 N3/3 target-only ctx32768 HARNESS-ERROR guidellm GET /health 404 (ds4 has no /health); not a server crash	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-164948-chat
20260721-165139-chat	2f6abac	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	17.51	na	na	na	na	111.0	measured	cfg=baseline temp=0 N1/3 target-only ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-165139-chat
20260721-165459-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	17.98	na	na	na	na	111.0	measured	cfg=baseline temp=0 N2/3 target-only ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-165459-chat
20260721-165817-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	04c95a57	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	17.96	na	na	na	na	111.0	measured	cfg=baseline temp=0 N3/3 target-only ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-165817-chat
20260721-170240-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	cdd40f7e	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	14.91	na	na	na	na	115.7	measured	cfg=dspark temp=0 N1/3 dspark conf0.9 ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-170240-chat
20260721-170556-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	cdd40f7e	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	14.94	na	na	na	na	115.3	measured	cfg=dspark temp=0 N2/3 dspark conf0.9 ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-170556-chat
20260721-170926-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	cdd40f7e	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	14.34	na	na	na	na	115.3	measured	cfg=dspark temp=0 N3/3 dspark conf0.9 ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-170926-chat
20260721-171814-chat	06741c0	gb10-1988a9714b4e	antirez/DeepSeek-V4-Flash	chat(512/256)	ds4@efdadd4	ac87881f	launchers/DS4-antirez_DeepSeek-V4-Flash_q2-imatrix.sh	na	180	42	17.54	15.75	na	na	na	114.0	measured	cfg=batch4 temp=0 N1/3 batched-session=4 target-only ctx32768	results/gb10-1988a9714b4e/antirez/DeepSeek-V4-Flash/data/20260721-171814-chat
