run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260621-073756-chat	7c3b31a	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	5dab2e11	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/baseline.sh	503	180	42	38.99	112.45	166.8	237.15	322.22	72.1	c1:29/0/0;c4:78/4/0;c8:117/7/0;c16:169/16/0;c32:229/32/0	ok	levels=1,4,8,16,32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=62C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-073756-chat
20260621-075339-coder	7c3b31a	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	coder(4096/1024)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	5dab2e11	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/baseline.sh	503	180	42	38.39	96.09	127.64	167.83	167.38	72.2	c1:7/0/0;c4:19/3/0;c8:24/7/0;c16:30/15/0;c32:34/31/0	low_sample	levels=1,4,8,16,32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=64C/37W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-075339-coder
20260621-084434-chat	7c3b31a	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	497	180	42	50.75	na	na	264.13	na	69.5	c1:36/0/0;c16:187/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-083612 n1; thermal=64C/34W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-084434-chat
20260621-085054-chat	7c3b31a	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	497	180	42	50.53	na	na	267.77	na	69.5	c1:36/0/0;c16:190/16/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-083612 n2; thermal=66C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-085054-chat
20260621-085714-chat	7c3b31a	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	497	180	42	50.63	na	na	266.52	na	69.5	c1:36/0/0;c16:190/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-083612 n3; thermal=67C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-085714-chat
20260621-091414-chat	ef29283	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	53d9d746	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260620_mtp-n2_tuned.sh	552	180	42	47.2	na	na	269.45	na	69.4	c1:34/0/0;c16:187/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-090456 n1; thermal=65C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-091414-chat
20260621-092032-chat	ef29283	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	53d9d746	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260620_mtp-n2_tuned.sh	552	180	42	47.66	na	na	271.8	na	69.4	c1:34/1/0;c16:192/16/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-090456 n2; thermal=67C/36W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-092032-chat
20260621-092649-chat	ef29283	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	53d9d746	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260620_mtp-n2_tuned.sh	552	180	42	46.66	na	na	269.36	na	69.4	c1:34/0/0;c16:191/16/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260621-090456 n3; thermal=68C/35W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-092649-chat
20260621-115502-chat	a972709	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	chat(512/256)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	487	180	42	50.81	127.66	185.3	266.74	362.54	69.5	c1:36/0/0;c4:91/3/0;c8:133/7/0;c16:190/15/0;c32:257/31/0	ok	levels=1,4,8,16,32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=64C/37W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-115502-chat
20260621-121048-coder	a972709	gb10-1988a9714b4e	nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4	coder(4096/1024)	vllm@0.23.0(img:vllm-openai:0.23.0-qwen3nextmtp-fix)	d1c38405	runbooks/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/20260621_mtp-n1_tuned.sh	487	180	42	50.68	112.89	158.4	196.38	210.7	69.5	c1:9/0/0;c4:21/3/0;c8:29/8/0;c16:35/16/0;c32:40/31/0	low_sample	levels=1,4,8,16,32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=66C/38W	results/gb10-1988a9714b4e/nvidia/Qwen3-Next-80B-A3B-Instruct-NVFP4/data/20260621-121048-coder
